specI_cluster	ref-mOTU_v2_ID	kingdom	phylum	class	order	family	genus	mOTU
specI_v3_09996	ref_mOTU_v25_09996	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1805471 Clostridium sp. Marseille-P2415
specI_v3_07454	ref_mOTU_v25_07454	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	1644060 Natrialbales	1644061 Natrialbaceae	29287 Natronococcus	44470 Natronococcus amylolyticus
specI_v3_10535	ref_mOTU_v25_10535	2157 Archaea	28890 Euryarchaeota	224756 Methanomicrobia	2191 Methanomicrobiales	88404 Methanocorpusculaceae	NA Methanocorpusculaceae gen. incertae sedis	1930022 Methanocorpusculaceae archaeon Phil4
specI_v3_11326	ref_mOTU_v25_11326	2157 Archaea	28890 Euryarchaeota	224756 Methanomicrobia	94695 Methanosarcinales	2206 Methanosarcinaceae	2220 Methanolobus	487685 Methanolobus profundi
specI_v3_08471	ref_mOTU_v25_08471	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	152180 Ahrensia	1514904 Ahrensia marina
specI_v3_06186	ref_mOTU_v25_06186	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	478070 Labrenzia	311410 Labrenzia alba
specI_v3_06418	ref_mOTU_v25_06418	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	1042322 Demequinaceae	577469 Demequina	676200 Demequina aurantiaca
specI_v3_10315	ref_mOTU_v25_10315	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	415014 Proteiniborus	1889883 Proteiniborus sp. DW1
specI_v3_06469	ref_mOTU_v25_06469	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	81852 Enterococcaceae	1350 Enterococcus	246144 Enterococcus italicus
specI_v3_00595	ref_mOTU_v25_00595	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	68239 Streptomyces mirabilis
specI_v3_09567	ref_mOTU_v25_09567	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	NA Deltaproteobacteria order incertae sedis	NA Deltaproteobacteria fam. incertae sedis	NA Deltaproteobacteria gen. incertae sedis	1797835 Deltaproteobacteria bacterium RBG_13_65_10
specI_v3_11478	ref_mOTU_v25_11478	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72293 Helicobacteraceae	209 Helicobacter	157268 Helicobacter winghamensis
specI_v3_07291	ref_mOTU_v25_07291	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	39782 Blattabacteriaceae	34098 Blattabacterium	1186051 Blattabacterium sp. (Blaberus giganteus)
specI_v3_08003	ref_mOTU_v25_08003	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1347366 Clostridium sp. ND2
specI_v3_02987	ref_mOTU_v25_02987	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	1569 Sporosarcina	1459 Sporosarcina globispora
specI_v3_09481	ref_mOTU_v25_09481	2 Bacteria	976 Bacteroidetes	NA Bacteroidetes class incertae sedis	NA Bacteroidetes order incertae sedis	NA Bacteroidetes fam. incertae sedis	NA Bacteroidetes gen. incertae sedis	1797364 Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_35_15
specI_v3_08695	ref_mOTU_v25_08695	2 Bacteria	1090 Chlorobi	NA Chlorobi class incertae sedis	NA Chlorobi order incertae sedis	NA Chlorobi fam. incertae sedis	NA Chlorobi gen. incertae sedis	1617413 Chlorobi bacterium OLB6
specI_v3_10225	ref_mOTU_v25_10225	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	379 Rhizobium	1867956 Rhizobium oryziradicis
specI_v3_08139	ref_mOTU_v25_08139	2 Bacteria	95818 Candidatus Saccharibacteria	NA Candidatus Saccharibacteria class incertae sedis	NA Candidatus Saccharibacteria order incertae sedis	NA Candidatus Saccharibacteria fam. incertae sedis	NA Candidatus Saccharibacteria gen. incertae sedis	1394711 Candidatus Saccharibacteria bacterium RAAC3_TM7_1
specI_v3_06867	ref_mOTU_v25_06867	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	2005520 Dysgonamonadaceae	156973 Dysgonomonas	45254 Dysgonomonas capnocytophagoides
specI_v3_05312	ref_mOTU_v25_05312	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	379 Rhizobium	1736332 Rhizobium sp. Leaf311
specI_v3_02352	ref_mOTU_v25_02352	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135625 Pasteurellales	712 Pasteurellaceae	1960084 Rodentibacter	1908525 Rodentibacter sp. Ppn85
specI_v3_02139	ref_mOTU_v25_02139	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	310300 Bacteroides pyogenes
specI_v3_11531	ref_mOTU_v25_11531	2157 Archaea	28890 Euryarchaeota	183939 Methanococci	2182 Methanococcales	196117 Methanocaldococcaceae	196118 Methanocaldococcus	83171 Methanocaldococcus fervens
specI_v3_07136	ref_mOTU_v25_07136	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	1123867 SAR86 cluster bacterium SAR86B
specI_v3_01905	ref_mOTU_v25_01905	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	265 Paracoccus	34004 Paracoccus aminovorans
specI_v3_05992	ref_mOTU_v25_05992	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	1901 Streptomyces clavuligerus
specI_v3_08284	ref_mOTU_v25_08284	2157 Archaea	28890 Euryarchaeota	224756 Methanomicrobia	94695 Methanosarcinales	2206 Methanosarcinaceae	2207 Methanosarcina	418008 Methanosarcina horonobensis
specI_v3_08915	ref_mOTU_v25_08915	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204458 Caulobacterales	76892 Caulobacteraceae	20 Phenylobacterium	1660128 Phenylobacterium sp. SCN 69-14
specI_v3_10017	ref_mOTU_v25_10017	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	2005473 Muribaculaceae	NA Muribaculaceae gen. incertae sedis	1807740 Bacteroidales bacterium M12
specI_v3_06554	ref_mOTU_v25_06554	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	335929 Erythrobacteraceae	1041 Erythrobacter	1044 Erythrobacter longus
specI_v3_01650	ref_mOTU_v25_01650	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903409 Erwiniaceae	53335 Pantoea	55209 Pantoea cypripedii
specI_v3_00809	ref_mOTU_v25_00809	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	1372 Planococcus	1526927 Planococcus sp. PAMC 21323
specI_v3_02942	ref_mOTU_v25_02942	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	69277 Phyllobacteriaceae	245876 Nitratireductor	204799 Nitratireductor aquibiodomus
specI_v3_10935	ref_mOTU_v25_10935	2 Bacteria	200795 Chloroflexi	32061 Chloroflexia	32064 Chloroflexales	1106 Chloroflexaceae	1107 Chloroflexus	152260 Chloroflexus aggregans
specI_v3_05407	ref_mOTU_v25_05407	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	1752219 Pseudomonas sp. Ga0074129
specI_v3_00227	ref_mOTU_v25_00227	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	43263 Pseudomonas alcaligenes
specI_v3_11100	ref_mOTU_v25_11100	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	45404 Beijerinckiaceae	120652 Methylocella	199596 Methylocella silvestris
specI_v3_06546	ref_mOTU_v25_06546	2 Bacteria	544448 Tenericutes	31969 Mollicutes	2085 Mycoplasmatales	2092 Mycoplasmataceae	2093 Mycoplasma	114881 Mycoplasma columbinum
specI_v3_09902	ref_mOTU_v25_09902	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	80864 Comamonadaceae	NA Comamonadaceae gen. incertae sedis	1805090 Comamonadaceae bacterium CG2_30_59_20
specI_v3_12025	ref_mOTU_v25_12025	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213118 Desulfobacterales	213119 Desulfobacteraceae	2289 Desulfobacter	2293 Desulfobacter postgatei
specI_v3_04288	ref_mOTU_v25_04288	2 Bacteria	1239 Firmicutes	1737404 Tissierellia	1737405 Tissierellales	1570339 Peptoniphilaceae	543311 Parvimonas	671230 Parvimonas sp. oral taxon 110
specI_v3_06765	ref_mOTU_v25_06765	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	356658 Bacillus kribbensis
specI_v3_04159	ref_mOTU_v25_04159	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	766 Rickettsiales	775 Rickettsiaceae	69474 Orientia	784 Orientia tsutsugamushi
specI_v3_10855	ref_mOTU_v25_10855	2 Bacteria	544448 Tenericutes	31969 Mollicutes	2085 Mycoplasmatales	2092 Mycoplasmataceae	2093 Mycoplasma	29556 Mycoplasma gallinaceum
specI_v3_07095	ref_mOTU_v25_07095	2 Bacteria	1239 Firmicutes	1737404 Tissierellia	NA Tissierellia order incertae sedis	NA Tissierellia fam. incertae sedis	285105 Tepidimicrobium	1123352 Tepidimicrobium xylanilyticum
specI_v3_08689	ref_mOTU_v25_08689	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	335929 Erythrobacteraceae	1041 Erythrobacter	161528 Erythrobacter sp. SD-21
specI_v3_10355	ref_mOTU_v25_10355	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	41295 Rhodospirillaceae	13134 Magnetospirillum	1895778 Magnetospirillum sp. 64-120
specI_v3_06512	ref_mOTU_v25_06512	2 Bacteria	1239 Firmicutes	909932 Negativicutes	909929 Selenomonadales	1843490 Sporomusaceae	2373 Acetonema	2374 Acetonema longum
specI_v3_09446	ref_mOTU_v25_09446	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	1853232 Hymenobacteraceae	323449 Pontibacter	1797110 Pontibacter sp. S10-8
specI_v3_12074	ref_mOTU_v25_12074	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	83612 Psychroflexus	908615 Psychroflexus halocasei
specI_v3_00094	ref_mOTU_v25_00094	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	NA Enterobacteriaceae gen. incertae sedis	693444 Enterobacteriaceae bacterium strain FGI 57
specI_v3_09907	ref_mOTU_v25_09907	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213118 Desulfobacterales	213119 Desulfobacteraceae	NA Desulfobacteraceae gen. incertae sedis	1805128 Desulfobacteraceae bacterium CG2_30_51_40
specI_v3_12196	ref_mOTU_v25_12196	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	290174 Aquimarina	980584 Aquimarina agarivorans
specI_v3_09699	ref_mOTU_v25_09699	2 Bacteria	1817910 Candidatus Lloydbacteria	NA Candidatus Lloydbacteria class incertae sedis	NA Candidatus Lloydbacteria order incertae sedis	NA Candidatus Lloydbacteria fam. incertae sedis	NA Candidatus Lloydbacteria gen. incertae sedis	1798657 Candidatus Lloydbacteria bacterium RIFCSPHIGHO2_01_FULL_41_20
specI_v3_02643	ref_mOTU_v25_02643	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	80864 Comamonadaceae	52972 Polaromonas	1855301 Polaromonas sp. YR568
specI_v3_08196	ref_mOTU_v25_08196	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903411 Yersiniaceae	613 Serratia	1410619 Serratia sp. DD3
specI_v3_04480	ref_mOTU_v25_04480	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	85015 Nocardioidaceae	1839 Nocardioides	1449070 Nocardioides sp. UNC345MFTsu5.1
specI_v3_11003	ref_mOTU_v25_11003	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	357 Agrobacterium	358 Agrobacterium tumefaciens
specI_v3_07953	ref_mOTU_v25_07953	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	136 Spirochaetales	137 Spirochaetaceae	2024958 Alkalispirochaeta	1329640 Alkalispirochaeta odontotermitis
specI_v3_07547	ref_mOTU_v25_07547	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135614 Xanthomonadales	32033 Xanthomonadaceae	83614 Luteimonas	1247514 Luteimonas abyssi
specI_v3_00813	ref_mOTU_v25_00813	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903416 Budviciaceae	82980 Leminorella	82981 Leminorella grimontii
specI_v3_06987	ref_mOTU_v25_06987	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	506 Alcaligenaceae	90243 Oligella	90244 Oligella ureolytica
specI_v3_07603	ref_mOTU_v25_07603	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	1643686 Brachyspirales	143786 Brachyspiraceae	29521 Brachyspira	1262759 Brachyspira sp. CAG:484
specI_v3_03949	ref_mOTU_v25_03949	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1763 Mycobacterium	1777 Mycobacterium gastri
specI_v3_10327	ref_mOTU_v25_10327	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135622 Alteromonadales	NA Alteromonadales fam. incertae sedis	NA Alteromonadales gen. incertae sedis	1895005 Alteromonadales bacterium BS08
specI_v3_09176	ref_mOTU_v25_09176	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	59732 Chryseobacterium	1721091 Chryseobacterium sp. IHB B 17019
specI_v3_00325	ref_mOTU_v25_00325	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	81852 Enterococcaceae	1350 Enterococcus	112904 Enterococcus villorum
specI_v3_10924	ref_mOTU_v25_10924	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	321332 Synechococcus sp. JA-2-3B'a(2-13)
specI_v3_03854	ref_mOTU_v25_03854	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	NA Burkholderiales fam. incertae sedis	34102 Sphaerotilus	34103 Sphaerotilus natans
specI_v3_01108	ref_mOTU_v25_01108	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	85413 Bosea	1036779 Bosea lupini
specI_v3_10021	ref_mOTU_v25_10021	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	2005473 Muribaculaceae	NA Muribaculaceae gen. incertae sedis	1807746 Bacteroidales bacterium GP2
specI_v3_06758	ref_mOTU_v25_06758	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	41295 Rhodospirillaceae	191 Azospirillum	34010 Azospirillum halopraeferens
specI_v3_03449	ref_mOTU_v25_03449	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	1827195 Caballeronia	196367 Caballeronia sordidicola
specI_v3_07297	ref_mOTU_v25_07297	2 Bacteria	544448 Tenericutes	31969 Mollicutes	2085 Mycoplasmatales	2092 Mycoplasmataceae	2093 Mycoplasma	45363 Mycoplasma alkalescens
specI_v3_10848	ref_mOTU_v25_10848	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	911 Nitrobacter	29421 Nitrobacter vulgaris
specI_v3_11884	ref_mOTU_v25_11884	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	NA Campylobacterales fam. incertae sedis	269260 Nitratifractor	269261 Nitratifractor salsuginis
specI_v3_04154	ref_mOTU_v25_04154	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	157226 Jeotgalibacillus	135826 Jeotgalibacillus alimentarius
specI_v3_06362	ref_mOTU_v25_06362	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	74030 Roseovarius	540747 Roseovarius indicus
specI_v3_07204	ref_mOTU_v25_07204	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	1156844 Streptomyces sp. HmicA12
specI_v3_11734	ref_mOTU_v25_11734	2157 Archaea	28890 Euryarchaeota	183967 Thermoplasmata	2301 Thermoplasmatales	NA Thermoplasmatales fam. incertae sedis	NA Thermoplasmatales gen. incertae sedis	667138 Thermoplasmatales archaeon I-plasma
specI_v3_06795	ref_mOTU_v25_06795	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186804 Peptostreptococcaceae	1501226 Romboutsia	1537 Romboutsia lituseburensis
specI_v3_08567	ref_mOTU_v25_08567	2 Bacteria	74201 Verrucomicrobia	414999 Opitutae	415000 Opitutales	134623 Opitutaceae	1849551 Cephaloticoccus	1548207 Cephaloticoccus primus
specI_v3_11895	ref_mOTU_v25_11895	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1866885 Mycolicibacterium	758802 Mycolicibacterium litorale
specI_v3_05373	ref_mOTU_v25_05373	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	518733 Microterricola	412690 Microterricola viridarii
specI_v3_06579	ref_mOTU_v25_06579	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186806 Eubacteriaceae	33951 Acetobacterium	82116 Acetobacterium dehalogenans
specI_v3_04207	ref_mOTU_v25_04207	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	1850517 Paenibacillus sp. 1ZS3-15
specI_v3_11041	ref_mOTU_v25_11041	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	206351 Neisseriales	1499392 Chromobacteriaceae	397456 Gulbenkiania	375574 Gulbenkiania indica
specI_v3_04330	ref_mOTU_v25_04330	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1155385 Proteiniclasticum	398199 Proteiniclasticum ruminis
specI_v3_08055	ref_mOTU_v25_08055	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	186828 Carnobacteriaceae	117563 Granulicatella	137733 Granulicatella balaenopterae
specI_v3_01041	ref_mOTU_v25_01041	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1578 Lactobacillus	508451 Lactobacillus taiwanensis
specI_v3_06628	ref_mOTU_v25_06628	2 Bacteria	976 Bacteroidetes	NA Bacteroidetes class incertae sedis	1100069 Bacteroidetes Order II. Incertae sedis	563843 Rhodothermaceae	689697 Salisaeta	503170 Salisaeta longa
specI_v3_08827	ref_mOTU_v25_08827	2157 Archaea	28890 Euryarchaeota	183925 Methanobacteria	2158 Methanobacteriales	2159 Methanobacteriaceae	NA Methanobacteriaceae gen. incertae sedis	1635284 Methanobacteriaceae archaeon 41_258
specI_v3_03463	ref_mOTU_v25_03463	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	941338 Bhargavaea	426757 Bhargavaea ginsengi
specI_v3_00352	ref_mOTU_v25_00352	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	670516 Mycobacteroides	83262 Mycobacteroides immunogenum
specI_v3_08845	ref_mOTU_v25_08845	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	2303730 Prochlorotrichaceae	170610 Halomicronema	1209493 Halomicronema hongdechloris
specI_v3_00466	ref_mOTU_v25_00466	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	NA Burkholderiales fam. incertae sedis	28067 Rubrivivax	316997 Rubrivivax benzoatilyticus
specI_v3_02490	ref_mOTU_v25_02490	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	81850 Leuconostocaceae	46255 Weissella	1615 Weissella halotolerans
specI_v3_10373	ref_mOTU_v25_10373	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	NA Rhizobiales fam. incertae sedis	NA Rhizobiales gen. incertae sedis	1895815 Rhizobiales bacterium 65-79
specI_v3_04240	ref_mOTU_v25_04240	2 Bacteria	1239 Firmicutes	186801 Clostridia	68295 Thermoanaerobacterales	186814 Thermoanaerobacteraceae	249529 Caldanaerobacter	911092 Caldanaerobacter subterraneus
specI_v3_11843	ref_mOTU_v25_11843	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	1706369 Cellvibrionales	1706375 Spongiibacteraceae	1084558 Oceanicoccus	716816 Oceanicoccus sagamiensis
specI_v3_02121	ref_mOTU_v25_02121	2 Bacteria	1239 Firmicutes	909932 Negativicutes	909929 Selenomonadales	1843491 Selenomonadaceae	82373 Anaerovibrio	1240085 Anaerovibrio sp. JC8
specI_v3_04298	ref_mOTU_v25_04298	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	772 Bartonellaceae	773 Bartonella	56426 Bartonella clarridgeiae
specI_v3_10791	ref_mOTU_v25_10791	2157 Archaea	28889 Crenarchaeota	183924 Thermoprotei	114380 Desulfurococcales	2272 Desulfurococcaceae	56635 Aeropyrum	56636 Aeropyrum pernix
specI_v3_07569	ref_mOTU_v25_07569	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	200667 Flammeovirgaceae	NA Flammeovirgaceae gen. incertae sedis	1257021 Flammeovirgaceae bacterium 311
specI_v3_11554	ref_mOTU_v25_11554	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213118 Desulfobacterales	213121 Desulfobulbaceae	893 Desulfobulbus	894 Desulfobulbus propionicus
specI_v3_02600	ref_mOTU_v25_02600	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1161 Nostocales	1182 Scytonemataceae	1203 Scytonema	1137095 Scytonema sp. HK-05
specI_v3_10760	ref_mOTU_v25_10760	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	573139 Shimia	254406 Shimia aestuarii
specI_v3_11547	ref_mOTU_v25_11547	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	28256 Halomonadaceae	2745 Halomonas	1121960 Halomonas zhanjiangensis
specI_v3_07871	ref_mOTU_v25_07871	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890443 Spirulinales	1890448 Spirulinaceae	1154 Spirulina	270636 Spirulina major
specI_v3_10888	ref_mOTU_v25_10888	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	252301 Oceanicola	252302 Oceanicola granulosus
specI_v3_08804	ref_mOTU_v25_08804	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	69657 Hyphomonadaceae	85 Hyphomonas	1629710 Hyphomonas sp. BRH_c22
specI_v3_01875	ref_mOTU_v25_01875	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	1573 Clavibacter	28447 Clavibacter michiganensis
specI_v3_00498	ref_mOTU_v25_00498	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	NA Burkholderiales fam. incertae sedis	212743 Rhizobacter	946333 Rhizobacter gummiphilus
specI_v3_06099	ref_mOTU_v25_06099	2 Bacteria	544448 Tenericutes	31969 Mollicutes	2085 Mycoplasmatales	2092 Mycoplasmataceae	2093 Mycoplasma	2097 Mycoplasma genitalium
specI_v3_07893	ref_mOTU_v25_07893	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213118 Desulfobacterales	213119 Desulfobacteraceae	153027 Desulforegula	153026 Desulforegula conservatrix
specI_v3_12003	ref_mOTU_v25_12003	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	261827 Algibacter	870482 Algibacter pectinivorans
specI_v3_09404	ref_mOTU_v25_09404	2157 Archaea	928852 Candidatus Bathyarchaeota	NA Candidatus Bathyarchaeota class incertae sedis	NA Candidatus Bathyarchaeota order incertae sedis	NA Candidatus Bathyarchaeota fam. incertae sedis	NA Candidatus Bathyarchaeota gen. incertae sedis	1779369 Candidatus Bathyarchaeota archaeon B25
specI_v3_09716	ref_mOTU_v25_09716	2 Bacteria	1798710 Candidatus Melainabacteria	NA Candidatus Melainabacteria class incertae sedis	NA Candidatus Melainabacteria order incertae sedis	NA Candidatus Melainabacteria fam. incertae sedis	NA Candidatus Melainabacteria gen. incertae sedis	1801607 Candidatus Melainabacteria bacterium RIFCSPHIGHO2_02_FULL_34_12
specI_v3_09668	ref_mOTU_v25_09668	2 Bacteria	1752734 Candidatus Kaiserbacteria	NA Candidatus Kaiserbacteria class incertae sedis	NA Candidatus Kaiserbacteria order incertae sedis	NA Candidatus Kaiserbacteria fam. incertae sedis	NA Candidatus Kaiserbacteria gen. incertae sedis	1798512 Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_01_FULL_54_13
specI_v3_10975	ref_mOTU_v25_10975	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135614 Xanthomonadales	32033 Xanthomonadaceae	83618 Pseudoxanthomonas	344882 Pseudoxanthomonas dokdonensis
specI_v3_11218	ref_mOTU_v25_11218	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	59732 Chryseobacterium	445961 Chryseobacterium soli
specI_v3_04001	ref_mOTU_v25_04001	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	69541 Desulfuromonadales	213422 Geobacteraceae	28231 Geobacter	443144 Geobacter sp. M21
specI_v3_07498	ref_mOTU_v25_07498	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	NA Rhizobiales fam. incertae sedis	1734920 Pseudorhodoplanes	1235591 Pseudorhodoplanes sinuspersici
