study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB32631	ERP115334	SAMEA5617734	ERS3421823	ERX3428854	ERR3405202	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405202/ERR3405202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405202/ERR3405202_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405202/21673#46.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405202/21673#46.bam.bai		
PRJEB32631	ERP115334	SAMEA5617735	ERS3421824	ERX3428855	ERR3405203	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405203/ERR3405203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405203/ERR3405203_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405203/21673#47.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405203/21673#47.bam.bai		
PRJEB32631	ERP115334	SAMEA5617772	ERS3421861	ERX3428859	ERR3405207	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405207/ERR3405207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405207/ERR3405207_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405207/21673#51.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405207/21673#51.bam.bai		
PRJEB32631	ERP115334	SAMEA5617790	ERS3421879	ERX3428864	ERR3405212	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405212/ERR3405212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405212/ERR3405212_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405212/21673#56.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405212/21673#56.bam.bai		
PRJEB32631	ERP115334	SAMEA5617806	ERS3421895	ERX3428868	ERR3405216	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405216/ERR3405216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405216/ERR3405216_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405216/21673#60.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405216/21673#60.bam.bai		
PRJEB32631	ERP115334	SAMEA5617817	ERS3421906	ERX3428869	ERR3405217	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405217/ERR3405217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405217/ERR3405217_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405217/21673#61.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405217/21673#61.bam.bai		
PRJEB32631	ERP115334	SAMEA5618369	ERS3422457	ERX3428872	ERR3405220	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405220/ERR3405220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405220/ERR3405220_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405220/21673#64.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405220/21673#64.bam.bai		
PRJEB32631	ERP115334	SAMEA5618384	ERS3422472	ERX3428875	ERR3405223	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405223/ERR3405223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405223/ERR3405223_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405223/21673#67.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405223/21673#67.bam.bai		
PRJEB32631	ERP115334	SAMEA5618394	ERS3422482	ERX3428878	ERR3405226	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405226/ERR3405226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405226/ERR3405226_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405226/21673#70.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405226/21673#70.bam.bai		
PRJEB32631	ERP115334	SAMEA5616788	ERS3420970	ERX3428884	ERR3405232	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405232/ERR3405232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405232/ERR3405232_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405232/21842_1#4.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405232/21842_1#4.bam.bai		
PRJEB32631	ERP115334	SAMEA5616790	ERS3420972	ERX3428886	ERR3405234	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405234/ERR3405234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405234/ERR3405234_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405234/21842_1#6.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405234/21842_1#6.bam.bai		
PRJEB32631	ERP115334	SAMEA5616796	ERS3420978	ERX3428887	ERR3405235	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405235/ERR3405235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405235/ERR3405235_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405235/21842_1#7.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405235/21842_1#7.bam.bai		
PRJEB32631	ERP115334	SAMEA5616797	ERS3420979	ERX3428888	ERR3405236	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405236/ERR3405236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405236/ERR3405236_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405236/21842_1#8.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405236/21842_1#8.bam.bai		
PRJEB32631	ERP115334	SAMEA5616802	ERS3420984	ERX3428890	ERR3405238	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405238/ERR3405238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405238/ERR3405238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405238/21842_1#10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405238/21842_1#10.bam.bai		
PRJEB32631	ERP115334	SAMEA5616812	ERS3420994	ERX3428896	ERR3405244	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405244/ERR3405244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405244/ERR3405244_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405244/21842_1#16.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405244/21842_1#16.bam.bai		
PRJEB32631	ERP115334	SAMEA5616815	ERS3420997	ERX3428899	ERR3405247	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405247/ERR3405247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405247/ERR3405247_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405247/21842_1#19.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405247/21842_1#19.bam.bai		
PRJEB32631	ERP115334	SAMEA5616821	ERS3421003	ERX3428901	ERR3405249	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405249/ERR3405249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405249/ERR3405249_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405249/21842_1#21.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405249/21842_1#21.bam.bai		
PRJEB32631	ERP115334	SAMEA5616822	ERS3421004	ERX3428902	ERR3405250	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405250/ERR3405250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405250/ERR3405250_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405250/21842_1#22.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405250/21842_1#22.bam.bai		
PRJEB32631	ERP115334	SAMEA5616824	ERS3421006	ERX3428903	ERR3405251	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405251/ERR3405251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405251/ERR3405251_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405251/21842_1#23.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405251/21842_1#23.bam.bai		
PRJEB32631	ERP115334	SAMEA5616828	ERS3421010	ERX3428907	ERR3405255	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405255/ERR3405255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405255/ERR3405255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405255/21842_2#3.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405255/21842_2#3.bam.bai		
PRJEB32631	ERP115334	SAMEA5616832	ERS3421014	ERX3428911	ERR3405259	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405259/ERR3405259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405259/ERR3405259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405259/21842_2#7.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405259/21842_2#7.bam.bai		
PRJEB32631	ERP115334	SAMEA5617855	ERS3421944	ERX3428922	ERR3405270	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405270/ERR3405270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405270/ERR3405270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405270/21842_2#18.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405270/21842_2#18.bam.bai		
PRJEB32631	ERP115334	SAMEA5617864	ERS3421953	ERX3428923	ERR3405271	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405271/ERR3405271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405271/ERR3405271_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405271/21842_2#19.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405271/21842_2#19.bam.bai		
PRJEB32631	ERP115334	SAMEA5617868	ERS3421957	ERX3428926	ERR3405274	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405274/ERR3405274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405274/ERR3405274_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405274/21842_2#22.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405274/21842_2#22.bam.bai		
PRJEB32631	ERP115334	SAMEA5617876	ERS3421965	ERX3428931	ERR3405279	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405279/ERR3405279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405279/ERR3405279_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405279/21842_3#3.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405279/21842_3#3.bam.bai		
PRJEB32631	ERP115334	SAMEA5617890	ERS3421979	ERX3428934	ERR3405282	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405282/ERR3405282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405282/ERR3405282_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405282/21842_3#6.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405282/21842_3#6.bam.bai		
PRJEB32631	ERP115334	SAMEA5617896	ERS3421985	ERX3428936	ERR3405284	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405284/ERR3405284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405284/ERR3405284_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405284/21842_3#8.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405284/21842_3#8.bam.bai		
PRJEB32631	ERP115334	SAMEA5617884	ERS3421973	ERX3428938	ERR3405286	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405286/ERR3405286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405286/ERR3405286_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405286/21842_3#10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405286/21842_3#10.bam.bai		
PRJEB32631	ERP115334	SAMEA5617885	ERS3421974	ERX3428939	ERR3405287	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405287/ERR3405287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405287/ERR3405287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405287/21842_3#11.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405287/21842_3#11.bam.bai		
PRJEB32631	ERP115334	SAMEA5617887	ERS3421976	ERX3428941	ERR3405289	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405289/ERR3405289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405289/ERR3405289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405289/21842_3#13.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405289/21842_3#13.bam.bai		
PRJEB32631	ERP115334	SAMEA5617900	ERS3421989	ERX3428943	ERR3405291	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405291/ERR3405291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405291/ERR3405291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405291/21842_3#15.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405291/21842_3#15.bam.bai		
PRJEB32631	ERP115334	SAMEA5617901	ERS3421990	ERX3428944	ERR3405292	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405292/ERR3405292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405292/ERR3405292_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405292/21842_3#16.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405292/21842_3#16.bam.bai		
PRJEB32631	ERP115334	SAMEA5617902	ERS3421991	ERX3428945	ERR3405293	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405293/ERR3405293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405293/ERR3405293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405293/21842_3#17.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405293/21842_3#17.bam.bai		
PRJEB32631	ERP115334	SAMEA5617903	ERS3421992	ERX3428946	ERR3405294	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405294/ERR3405294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405294/ERR3405294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405294/21842_3#18.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405294/21842_3#18.bam.bai		
PRJEB32631	ERP115334	SAMEA5617921	ERS3422009	ERX3428948	ERR3405296	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405296/ERR3405296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405296/ERR3405296_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405296/21842_3#20.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405296/21842_3#20.bam.bai		
PRJEB32631	ERP115334	SAMEA5617923	ERS3422011	ERX3428949	ERR3405297	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405297/ERR3405297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405297/ERR3405297_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405297/21842_3#21.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405297/21842_3#21.bam.bai		
PRJEB32631	ERP115334	SAMEA5617925	ERS3422013	ERX3428951	ERR3405299	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405299/ERR3405299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405299/ERR3405299_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405299/21842_3#23.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405299/21842_3#23.bam.bai		
PRJEB32631	ERP115334	SAMEA5618429	ERS3422517	ERX3428956	ERR3405304	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405304/ERR3405304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405304/ERR3405304_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405304/21842_4#4.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405304/21842_4#4.bam.bai		
PRJEB32631	ERP115334	SAMEA5618430	ERS3422518	ERX3428957	ERR3405305	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405305/ERR3405305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405305/ERR3405305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405305/21842_4#5.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405305/21842_4#5.bam.bai		
PRJEB32631	ERP115334	SAMEA5618432	ERS3422520	ERX3428959	ERR3405307	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405307/ERR3405307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405307/ERR3405307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405307/21842_4#7.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405307/21842_4#7.bam.bai		
PRJEB32631	ERP115334	SAMEA5618441	ERS3422529	ERX3428964	ERR3405312	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405312/ERR3405312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405312/ERR3405312_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405312/21842_4#12.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405312/21842_4#12.bam.bai		
PRJEB32631	ERP115334	SAMEA5618496	ERS3422584	ERX3428972	ERR3405320	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405320/ERR3405320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405320/ERR3405320_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405320/21842_4#20.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405320/21842_4#20.bam.bai		
PRJEB32631	ERP115334	SAMEA5618503	ERS3422591	ERX3428973	ERR3405321	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405321/ERR3405321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405321/ERR3405321_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405321/21842_4#21.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405321/21842_4#21.bam.bai		
PRJEB32631	ERP115334	SAMEA5618460	ERS3422548	ERX3428977	ERR3405325	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405325/ERR3405325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405325/ERR3405325_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405325/21940_3#1.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405325/21940_3#1.bam.bai		
PRJEB32631	ERP115334	SAMEA5618461	ERS3422549	ERX3428978	ERR3405326	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405326/ERR3405326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405326/ERR3405326_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405326/21940_3#2.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405326/21940_3#2.bam.bai		
PRJEB32631	ERP115334	SAMEA5618462	ERS3422550	ERX3428979	ERR3405327	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405327/ERR3405327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405327/ERR3405327_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405327/21940_3#3.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405327/21940_3#3.bam.bai		
PRJEB32631	ERP115334	SAMEA5618444	ERS3422532	ERX3428984	ERR3405332	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405332/ERR3405332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405332/ERR3405332_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405332/21940_3#8.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405332/21940_3#8.bam.bai		
PRJEB32631	ERP115334	SAMEA5618445	ERS3422533	ERX3428985	ERR3405333	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405333/ERR3405333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405333/ERR3405333_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405333/21940_3#9.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405333/21940_3#9.bam.bai		
PRJEB32631	ERP115334	SAMEA5617913	ERS3422002	ERX3428987	ERR3405335	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405335/ERR3405335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405335/ERR3405335_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405335/21940_3#11.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405335/21940_3#11.bam.bai		
PRJEB32631	ERP115334	SAMEA5616850	ERS3421032	ERX3428989	ERR3405337	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405337/ERR3405337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405337/ERR3405337_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405337/21940_3#13.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405337/21940_3#13.bam.bai		
PRJEB32631	ERP115334	SAMEA5616848	ERS3421030	ERX3428993	ERR3405341	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405341/ERR3405341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405341/ERR3405341_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405341/21940_3#17.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405341/21940_3#17.bam.bai		
PRJEB32631	ERP115334	SAMEA5616856	ERS3421038	ERX3429001	ERR3405349	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405349/ERR3405349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405349/ERR3405349_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405349/21989_6#1.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405349/21989_6#1.bam.bai		
PRJEB32631	ERP115334	SAMEA5616868	ERS3421050	ERX3429004	ERR3405352	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405352/ERR3405352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405352/ERR3405352_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405352/21989_6#4.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405352/21989_6#4.bam.bai		
PRJEB32631	ERP115334	SAMEA5616870	ERS3421052	ERX3429006	ERR3405354	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405354/ERR3405354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405354/ERR3405354_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405354/21989_6#6.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405354/21989_6#6.bam.bai		
