"","asv","homd"
"3153","ASV3153","Haemophilus parainfluenzae"
"3154","ASV3154","Campylobacter gracilis"
"3155","ASV3155","Actinomyces sp. HMT 448"
"3156","ASV3156","Fusobacterium nucleatum subsp. vincentii"
"3157","ASV3157","Lactobacillus oris"
"3158","ASV3158","Leptotrichia hongkongensis"
"3159","ASV3159","Selenomonas sp. HMT 134"
"3160","ASV3160","Prevotella sp. HMT 526"
"3161","ASV3161","Fusobacterium periodonticum"
"3162","ASV3162","Leptotrichia sp. HMT 215"
"3163","ASV3163","Tannerella sp. HMT 808"
"3164","ASV3164","Mogibacterium vescum"
"3165","ASV3165","Leptotrichia sp. HMT 212"
"3166","ASV3166","Prevotella intermedia"
"3167","ASV3167","Lautropia mirabilis"
"3168","ASV3168","Escherichia coli"
"3169","ASV3169","Haemophilus paraphrohaemolyticus"
"3170","ASV3170","Paenibacillus sp. HMT 048"
"3171","ASV3171","Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka"
"3172","ASV3172","Saccharibacteria (TM7) [G-1] bacterium HMT 348"
"3173","ASV3173","Prevotella melaninogenica"
"3174","ASV3174","Treponema socranskii"
"3175","ASV3175","Saccharibacteria (TM7) [G-5] bacterium HMT 356"
"3176","ASV3176","Arachnia propionica"
"3177","ASV3177","Streptococcus intermedius"
"3178","ASV3178","Prevotella sp. HMT 305"
"3179","ASV3179","Corynebacterium matruchotii"
"3180","ASV3180","Acidovorax ebreus"
"3181","ASV3181","Dolosigranulum pigrum"
"3182","ASV3182","Prevotella salivae"
"3183","ASV3183","Arachnia rubra"
"3184","ASV3184","Capnocytophaga granulosa"
"3185","ASV3185","Arachnia propionica"
"3186","ASV3186","Arachnia propionica"
"3187","ASV3187","Capnocytophaga granulosa"
"3188","ASV3188","Ralstonia sp. HMT 406"
"3189","ASV3189","Bergeyella sp. HMT 322"
"3190","ASV3190","Prevotella pallens"
"3191","ASV3191","Mitsuokella sp. HMT 521"
"3192","ASV3192","Veillonella sp. HMT 780"
"3193","ASV3193","Gemella sanguinis"
"3194","ASV3194","Treponema sp. HMT 237"
"3195","ASV3195","Treponema sp. HMT 951"
"3196","ASV3196","Neisseria cinerea"
"3197","ASV3197","Veillonella dispar"
"3198","ASV3198","Leptotrichia sp. HMT 221"
"3199","ASV3199","Lachnospiraceae [G-2] bacterium HMT 088"
"3200","ASV3200","Prevotella histicola"
"3201","ASV3201","Treponema socranskii"
"3202","ASV3202","Selenomonas sputigena"
"3203","ASV3203","Pedobacter sp. HMT 321"
"3204","ASV3204","Streptococcus sanguinis"
"3205","ASV3205","Neisseria sp. HMT 018"
"3206","ASV3206","Selenomonas sp. HMT 134"
"3207","ASV3207","Arthrospira platensis"
"3208","ASV3208","Prevotella salivae"
"3209","ASV3209","Saccharibacteria (TM7) [G-1] bacterium HMT 488"
"3210","ASV3210","Neisseria cinerea"
"3211","ASV3211","Lachnoanaerobaculum saburreum"
"3212","ASV3212","Oribacterium asaccharolyticum"
"3213","ASV3213","Veillonellaceae [G-1] bacterium HMT 150"
"3214","ASV3214","Prevotella sp. HMT 317"
"3215","ASV3215","Oribacterium sp. HMT 078"
"3216","ASV3216","Prevotella salivae"
"3217","ASV3217","Lachnoanaerobaculum orale"
"3218","ASV3218","Lachnospiraceae [G-2] bacterium HMT 096"
"3219","ASV3219","Veillonella dispar"
"3220","ASV3220","Fusobacterium periodonticum"
"3221","ASV3221","Prevotella histicola"
"3222","ASV3222","Actinomyces sp. HMT 175"
"3223","ASV3223","Leptotrichia sp. HMT 417"
"3224","ASV3224","Leptotrichia wadei"
"3225","ASV3225","Corynebacterium matruchotii"
"3226","ASV3226","Kingella oralis"
"3227","ASV3227","Streptococcus mutans"
"3228","ASV3228","Alloprevotella tannerae"
"3229","ASV3229","Rothia dentocariosa"
"3230","ASV3230","Treponema socranskii"
"3231","ASV3231","Saccharibacteria (TM7) [G-1] bacterium HMT 346"
"3232","ASV3232","Leptotrichia sp. HMT 392"
"3233","ASV3233","Granulicatella adiacens"
"3234","ASV3234","Oribacterium parvum"
"3235","ASV3235","Capnocytophaga sp. HMT 863"
"3236","ASV3236","Bacteroidetes [G-3] bacterium HMT 281"
"3237","ASV3237","Capnocytophaga haemolytica"
"3238","ASV3238","Alloprevotella rava"
"3239","ASV3239","Leptotrichia hofstadii"
"3240","ASV3240","Mesorhizobium loti"
"3241","ASV3241","Prevotella salivae"
"3242","ASV3242","Eggerthella lenta"
"3243","ASV3243","Bifidobacterium longum"
"3244","ASV3244","Enterococcus italicus"
"3245","ASV3245","Pseudomonas fluorescens"
"3246","ASV3246","Gracilibacteria (GN02) [G-1] bacterium HMT 871"
"3247","ASV3247","Prevotella nanceiensis"
"3248","ASV3248","Lachnoanaerobaculum umeaense"
"3249","ASV3249","Prevotella melaninogenica"
"3250","ASV3250","Johnsonella sp. HMT 166"
"3251","ASV3251","Selenomonas noxia"
"3252","ASV3252","Selenomonas sputigena"
"3253","ASV3253","Lactobacillus acidophilus"
"3254","ASV3254","Capnocytophaga sputigena"
"3255","ASV3255","Arachnia rubra"
"3256","ASV3256","Peptostreptococcus anaerobius"
"3257","ASV3257","Lactobacillus oris"
"3258","ASV3258","Treponema sp. HMT 237"
"3259","ASV3259","Leptotrichia sp. HMT 417"
"3260","ASV3260","Leptotrichia sp. HMT 847"
"3261","ASV3261","Alloprevotella sp. HMT 914"
"3262","ASV3262","Selenomonas sp. HMT 138"
"3263","ASV3263","Arachnia rubra"
"3264","ASV3264","Leptotrichia sp. HMT 879"
"3265","ASV3265","Saccharibacteria (TM7) [G-1] bacterium HMT 352"
"3266","ASV3266","Prevotella salivae"
"3267","ASV3267","Prevotella sp. HMT 292"
"3268","ASV3268","Selenomonas sp. HMT 138"
"3269","ASV3269","Dialister invisus"
"3270","ASV3270","Prevotella sp. HMT 306"
"3271","ASV3271","Cardiobacterium valvarum"
"3272","ASV3272","Prevotella pleuritidis"
"3273","ASV3273","Paenibacillus glucanolyticus"
"3274","ASV3274","Lachnospiraceae [G-2] bacterium HMT 096"
"3275","ASV3275","Bifidobacterium longum"
"3276","ASV3276","Neisseria flava"
"3277","ASV3277","Veillonella dispar"
"3278","ASV3278","Bacteroidetes [G-5] bacterium HMT 505"
"3279","ASV3279","Cardiobacterium hominis"
"3280","ASV3280","Fusobacterium sp. HMT 203"
"3281","ASV3281","Oribacterium sp. HMT 078"
"3282","ASV3282",NA
"3283","ASV3283","Saccharibacteria (TM7) [G-1] bacterium HMT 346"
"3284","ASV3284","Atopobium parvulum"
"3285","ASV3285","Streptococcus sanguinis"
"3286","ASV3286","Leptotrichia sp. HMT 417"
"3287","ASV3287","Leptotrichia shahii"
"3288","ASV3288","Leptotrichia hongkongensis"
"3289","ASV3289","Saccharibacteria (TM7) [G-1] bacterium HMT 346"
"3290","ASV3290","Prevotella scopos"
"3291","ASV3291","Bergeyella sp. HMT 319"
"3292","ASV3292","Shuttleworthia satelles"
"3293","ASV3293","Fusobacterium nucleatum subsp. animalis"
"3294","ASV3294","Veillonella dispar"
"3295","ASV3295","Corynebacterium matruchotii"
"3296","ASV3296","Aggregatibacter sp. HMT 949"
"3297","ASV3297","Mitsuokella sp. HMT 521"
"3298","ASV3298","Anoxybacillus flavithermus"
"3299","ASV3299","Prevotella nanceiensis"
"3300","ASV3300","Saccharibacteria (TM7) [G-6] bacterium HMT 870"
"3301","ASV3301","Sneathia amnii [Not Validly Published]"
"3302","ASV3302","Leptotrichia shahii"
"3303","ASV3303","Atopobium parvulum"
"3304","ASV3304","Actinomyces sp. HMT 448"
"3305","ASV3305","Porphyromonas catoniae"
"3306","ASV3306","Mogibacterium timidum"
"3307","ASV3307","Atopobium parvulum"
"3308","ASV3308","Selenomonas sp. HMT 478"
"3309","ASV3309","Prevotella oulorum"
"3310","ASV3310","Staphylococcus caprae"
"3311","ASV3311","Alloprevotella rava"
"3312","ASV3312","Sneathia amnii [Not Validly Published]"
"3313","ASV3313","Saccharibacteria (TM7) [G-1] bacterium HMT 352"
"3314","ASV3314","Streptococcus salivarius"
"3315","ASV3315","Centipeda periodontii"
"3316","ASV3316","Dermabacter hominis"
"3317","ASV3317","Bergeyella sp. HMT 322"
"3318","ASV3318","Prevotella loescheii"
"3319","ASV3319","Ralstonia sp. HMT 406"
"3320","ASV3320","Absconditabacteria (SR1) [G-1] bacterium HMT 874"
"3321","ASV3321","Prevotella histicola"
"3322","ASV3322","Streptococcus oralis subsp. dentisani clade 058"
"3323","ASV3323","Leptotrichia buccalis"
"3324","ASV3324","Streptococcus oralis subsp. dentisani clade 058"
"3325","ASV3325","Fusobacterium nucleatum subsp. animalis"
"3326","ASV3326","Leptotrichia sp. HMT 221"
"3327","ASV3327","Haemophilus sp. HMT 036"
"3328","ASV3328","Stomatobaculum sp. HMT 910"
"3329","ASV3329","Peptococcus sp. HMT 168"
"3330","ASV3330","Selenomonas sp. HMT 134"
"3331","ASV3331","Tannerella sp. HMT 808"
"3332","ASV3332","Leptotrichia sp. HMT 219"
"3333","ASV3333","Alloprevotella sp. HMT 473"
"3334","ASV3334","Neisseria flava"
"3335","ASV3335","Centipeda periodontii"
"3336","ASV3336","Ochrobactrum anthropi"
"3337","ASV3337","Bacteroides pyogenes"
"3338","ASV3338","Prevotella nanceiensis"
"3339","ASV3339","Kingella sp. HMT 459"
"3340","ASV3340","Dialister micraerophilus"
"3341","ASV3341","Arachnia propionica"
"3342","ASV3342","Capnocytophaga gingivalis"
"3343","ASV3343","Saccharibacteria (TM7) [G-1] bacterium HMT 347"
"3344","ASV3344","Olsenella sp. HMT 807"
"3345","ASV3345","Streptococcus salivarius"
"3346","ASV3346","Prevotella sp. HMT 317"
"3347","ASV3347","Granulicatella elegans"
"3348","ASV3348","Neisseria sp. HMT 018"
"3349","ASV3349","Prevotella oulorum"
"3350","ASV3350","Capnocytophaga sp. HMT 863"
"3351","ASV3351","Lautropia mirabilis"
"3352","ASV3352","Arachnia propionica"
"3353","ASV3353","Saccharibacteria (TM7) [G-6] bacterium HMT 870"
"3354","ASV3354","Leptotrichia sp. HMT 212"
"3355","ASV3355","Neisseria flava"
"3356","ASV3356","Prevotella melaninogenica"
"3357","ASV3357","Leptotrichia sp. HMT 221"
"3358","ASV3358","Catonella morbi"
"3359","ASV3359","Oribacterium sinus"
"3360","ASV3360","Capnocytophaga sp. HMT 901"
"3361","ASV3361","Bacillus anthracis"
"3362","ASV3362","Bergeyella sp. HMT 322"
"3363","ASV3363","Prevotella salivae"
"3364","ASV3364","Prevotella nigrescens"
"3365","ASV3365","Veillonella dispar"
"3366","ASV3366","Selenomonas sp. HMT 134"
"3367","ASV3367","Peptostreptococcaceae [XI][G-1] [Eubacterium] sulci"
"3368","ASV3368","Stomatobaculum longum"
"3369","ASV3369","Veillonella dispar"
"3370","ASV3370","Afipia broomeae"
"3371","ASV3371","Gemella sanguinis"
"3372","ASV3372","Lautropia mirabilis"
"3373","ASV3373","Streptococcus salivarius"
"3374","ASV3374","Leptotrichia hongkongensis"
"3375","ASV3375","Prevotella sp. HMT 472"
"3376","ASV3376","Tannerella sp. HMT 808"
"3377","ASV3377",NA
"3378","ASV3378","Desulfovibrio fairfieldensis"
"3379","ASV3379","Arachnia propionica"
"3380","ASV3380","Capnocytophaga sp. HMT 336"
"3381","ASV3381","Stomatobaculum sp. HMT 910"
"3382","ASV3382","Prevotella denticola"
"3383","ASV3383","Streptococcus oralis subsp. dentisani clade 058"
"3384","ASV3384","Shuttleworthia satelles"
"3385","ASV3385","Shuttleworthia satelles"
"3386","ASV3386","Prevotella sp. HMT 472"
"3387","ASV3387","Leptotrichia sp. HMT 217"
"3388","ASV3388","Bacteroidetes [G-3] bacterium HMT 365"
"3389","ASV3389","Selenomonas sp. HMT 138"
"3390","ASV3390","Treponema sp. HMT 237"
"3391","ASV3391","Streptococcus sanguinis"
"3392","ASV3392","Mitsuokella sp. HMT 521"
"3393","ASV3393","Selenomonas sp. HMT 138"
"3394","ASV3394","Bdellovibrio sp. HMT 039"
"3395","ASV3395","Bacteroides heparinolyticus"
"3396","ASV3396","Stomatobaculum sp. HMT 910"
"3397","ASV3397","Paenibacillus phoenicis"
"3398","ASV3398","Lautropia mirabilis"
"3399","ASV3399","Haemophilus parainfluenzae"
"3400","ASV3400","Arachnia propionica"
"3401","ASV3401","Prevotella buccae"
"3402","ASV3402","Actinomyces sp. HMT 897"
"3403","ASV3403","Prevotella pallens"
"3404","ASV3404","Capnocytophaga sp. HMT 324"
"3405","ASV3405","Granulicatella elegans"
"3406","ASV3406","Bifidobacterium longum"
"3407","ASV3407","Fusobacterium hwasookii"
"3408","ASV3408","Fusobacterium hwasookii"
"3409","ASV3409","Granulicatella elegans"
"3410","ASV3410","Fusobacterium hwasookii"
"3411","ASV3411","Selenomonas sputigena"
"3412","ASV3412","Propionibacteriaceae [G-2] bacterium HMT 192"
"3413","ASV3413","Pseudomonas fluorescens"
"3414","ASV3414","Pseudomonas pseudoalcaligenes"
"3415","ASV3415","Saccharibacteria (TM7) [G-1] bacterium HMT 352"
"3416","ASV3416","Fusobacterium hwasookii"
"3417","ASV3417","Prevotella sp. HMT 309"
"3418","ASV3418","Haemophilus parainfluenzae"
"3419","ASV3419","Selenomonas sputigena"
"3420","ASV3420","Streptococcus mutans"
"3421","ASV3421","Peptidiphaga sp. HMT 183"
"3422","ASV3422","Campylobacter gracilis"
"3423","ASV3423","Veillonella dispar"
"3424","ASV3424","Capnocytophaga gingivalis"
"3425","ASV3425","Arachnia propionica"
"3426","ASV3426","Aggregatibacter sp. HMT 513"
"3427","ASV3427","Leptotrichia hongkongensis"
"3428","ASV3428","Prevotella sp. HMT 475"
"3429","ASV3429","Leptotrichia sp. HMT 417"
"3430","ASV3430","Leptotrichia sp. HMT 498"
"3431","ASV3431","Veillonella dispar"
"3432","ASV3432","Bergeyella sp. HMT 931"
"3433","ASV3433","Peptostreptococcus anaerobius"
"3434","ASV3434","Schaalia lingnae [Not Validly Published]"
"3435","ASV3435","Alloprevotella rava"
"3436","ASV3436","Arachnia rubra"
"3437","ASV3437","Neisseria cinerea"
"3438","ASV3438","Leptotrichia shahii"
"3439","ASV3439","Butyrivibrio sp. HMT 090"
"3440","ASV3440","Prevotella loescheii"
"3441","ASV3441","Selenomonas sp. HMT 478"
"3442","ASV3442","Veillonella dispar"
"3443","ASV3443","Leptotrichia sp. HMT 417"
"3444","ASV3444","Stomatobaculum longum"
"3445","ASV3445","Veillonella sp. HMT 780"
"3446","ASV3446","Prevotella oulorum"
"3447","ASV3447","Anoxybacillus flavithermus"
"3448","ASV3448","Escherichia coli"
"3449","ASV3449","Leptotrichia sp. HMT 212"
"3450","ASV3450","Fusobacterium sp. HMT 203"
"3451","ASV3451","Leptotrichia sp. HMT 498"
"3452","ASV3452","Alloprevotella rava"
"3453","ASV3453","Selenomonas noxia"
"3454","ASV3454","Fusobacterium nucleatum subsp. animalis"
"3455","ASV3455","Atopobium parvulum"
"3456","ASV3456","Selenomonas sp. HMT 478"
"3457","ASV3457","Leptotrichia shahii"
"3458","ASV3458","Mogibacterium vescum"
"3459","ASV3459","Streptococcus salivarius"
"3460","ASV3460","Bergeyella sp. HMT 322"
"3461","ASV3461","Treponema sp. HMT 251"
"3462","ASV3462","Lautropia mirabilis"
"3463","ASV3463","Leptotrichia sp. HMT 392"
"3464","ASV3464","Treponema sp. HMT 237"
"3465","ASV3465","Selenomonas sp. HMT 138"
"3466","ASV3466","Rhodocyclus sp. HMT 028"
"3467","ASV3467","Streptococcus sanguinis"
"3468","ASV3468","Streptococcus salivarius"
"3469","ASV3469","Lachnoanaerobaculum umeaense"
"3470","ASV3470","Bergeyella sp. HMT 322"
"3471","ASV3471","Catonella morbi"
"3472","ASV3472","Comamonas testosteroni"
"3473","ASV3473","Porphyromonas catoniae"
"3474","ASV3474","Alloprevotella sp. HMT 912"
"3475","ASV3475","Leptotrichia hongkongensis"
"3476","ASV3476","Delftia acidovorans"
"3477","ASV3477","Shuttleworthia satelles"
"3478","ASV3478","Lachnoanaerobaculum sp. HMT 089"
"3479","ASV3479","Saccharibacteria (TM7) [G-1] bacterium HMT 346"
"3480","ASV3480","Rothia aeria"
"3481","ASV3481","Lachnoanaerobaculum orale"
"3482","ASV3482","Saccharibacteria (TM7) [G-1] bacterium HMT 346"
"3483","ASV3483","Veillonellaceae [G-1] bacterium HMT 155"
"3484","ASV3484","Arachnia rubra"
"3485","ASV3485","Capnocytophaga leadbetteri"
"3486","ASV3486","Prevotella scopos"
"3487","ASV3487","Lachnoanaerobaculum saburreum"
"3488","ASV3488","Streptococcus salivarius"
"3489","ASV3489","Janibacter indicus"
"3490","ASV3490","Saccharibacteria (TM7) [G-6] bacterium HMT 870"
"3491","ASV3491","Clostridiales [F-3][G-1] bacterium HMT 876"
"3492","ASV3492","Arachnia propionica"
"3493","ASV3493","Gemella sanguinis"
"3494","ASV3494","Capnocytophaga granulosa"
"3495","ASV3495","Capnocytophaga gingivalis"
"3496","ASV3496","Prevotella oris"
"3497","ASV3497","Bergeyella sp. HMT 907"
"3498","ASV3498","Arachnia rubra"
"3499","ASV3499","Fusobacterium nucleatum subsp. animalis"
"3500","ASV3500","Veillonella dispar"
"3501","ASV3501","Shuttleworthia satelles"
"3502","ASV3502","Leptotrichia sp. HMT 463"
"3503","ASV3503","Alloprevotella sp. HMT 308"
"3504","ASV3504","Streptococcus salivarius"
"3505","ASV3505","Lachnospiraceae [G-7] bacterium HMT 086"
"3506","ASV3506","Eggerthella lenta"
"3507","ASV3507","Stenotrophomonas maltophilia"
"3508","ASV3508","Prevotella intermedia"
"3509","ASV3509","Prevotella pallens"
"3510","ASV3510","Alloprevotella sp. HMT 473"
"3511","ASV3511","Fusobacterium sp. HMT 203"
"3512","ASV3512","Treponema sp. HMT 257"
"3513","ASV3513","Prevotella sp. HMT 306"
"3514","ASV3514","Megasphaera micronuciformis"
"3515","ASV3515","Saccharibacteria (TM7) [G-1] bacterium HMT 349"
"3516","ASV3516","Fusobacterium nucleatum subsp. animalis"
"3517","ASV3517","Leptotrichia sp. HMT 219"
"3518","ASV3518","Tannerella sp. HMT 916"
"3519","ASV3519","Leptotrichia buccalis"
"3520","ASV3520","Prevotella sp. HMT 306"
"3521","ASV3521","Megasphaera sp. HMT 841"
"3522","ASV3522","Saccharibacteria (TM7) [G-6] bacterium HMT 870"
"3523","ASV3523","Bergeyella sp. HMT 319"
"3524","ASV3524","Bacteroidetes [G-7] bacterium HMT 911"
"3525","ASV3525","Fusobacterium periodonticum"
"3526","ASV3526","Haemophilus paraphrohaemolyticus"
"3527","ASV3527","Neisseria flava"
"3528","ASV3528","Capnocytophaga haemolytica"
"3529","ASV3529","Oribacterium sp. HMT 078"
"3530","ASV3530","Peptostreptococcus stomatis"
"3531","ASV3531","Dialister invisus"
"3532","ASV3532","Selenomonas artemidis"
"3533","ASV3533","Catonella morbi"
"3534","ASV3534","Selenomonas sp. HMT 138"
"3535","ASV3535","Megasphaera micronuciformis"
"3536","ASV3536","Anaerococcus sp. HMT 290"
"3537","ASV3537","Prevotella loescheii"
"3538","ASV3538","Lautropia mirabilis"
"3539","ASV3539","Fusobacterium nucleatum subsp. animalis"
"3540","ASV3540","Fusobacterium nucleatum subsp. nucleatum"
"3541","ASV3541","Ralstonia sp. HMT 406"
"3542","ASV3542","Leptotrichia sp. HMT 417"
"3543","ASV3543","Alloprevotella sp. HMT 473"
"3544","ASV3544","Ralstonia pickettii"
"3545","ASV3545","Kingella oralis"
"3546","ASV3546","Lautropia mirabilis"
"3547","ASV3547","Peptidiphaga gingivicola"
"3548","ASV3548","Treponema sp. HMT 269"
"3549","ASV3549","Fusobacterium nucleatum subsp. animalis"
"3550","ASV3550","Lachnoanaerobaculum orale"
"3551","ASV3551","Stomatobaculum sp. HMT 910"
"3552","ASV3552","Treponema sp. HMT 951"
"3553","ASV3553","Eikenella corrodens"
"3554","ASV3554","Saccharibacteria (TM7) [G-1] bacterium HMT 349"
"3555","ASV3555","Shuttleworthia satelles"
"3556","ASV3556","Prevotella sp. HMT 313"
"3557","ASV3557","Veillonella parvula"
"3558","ASV3558","Prevotella scopos"
"3559","ASV3559","Lachnoanaerobaculum sp. HMT 083"
"3560","ASV3560","Streptococcus constellatus"
"3561","ASV3561","Bacteroides pyogenes"
"3562","ASV3562","Clostridiales [F-3][G-1] bacterium HMT 876"
"3563","ASV3563","Lachnospiraceae [G-3] bacterium HMT 100"
"3564","ASV3564","Aggregatibacter sp. HMT 949"
"3565","ASV3565","Neisseria flava"
"3566","ASV3566","Veillonella dispar"
"3567","ASV3567","Lactobacillus oris"
"3568","ASV3568","Neisseria elongata"
"3569","ASV3569","Veillonella parvula"
"3570","ASV3570","Granulicatella elegans"
"3571","ASV3571","Bacteroidetes [G-3] bacterium HMT 280"
"3572","ASV3572","Gemella sanguinis"
"3573","ASV3573","Lachnoanaerobaculum umeaense"
"3574","ASV3574","Eggerthia catenaformis"
"3575","ASV3575","Streptococcus sobrinus"
"3576","ASV3576","Shuttleworthia satelles"
"3577","ASV3577","Streptococcus sp. HMT 056"
"3578","ASV3578","Peptostreptococcus stomatis"
"3579","ASV3579","Prevotella enoeca"
"3580","ASV3580","Lautropia mirabilis"
"3581","ASV3581","Leptotrichia sp. HMT 219"
"3582","ASV3582","Escherichia coli"
"3583","ASV3583","Lachnospiraceae [G-8] bacterium HMT 500"
"3584","ASV3584","Lachnospiraceae [G-3] bacterium HMT 100"
"3585","ASV3585","Ralstonia sp. HMT 406"
"3586","ASV3586","Campylobacter rectus"
"3587","ASV3587","Veillonella denticariosi"
"3588","ASV3588","Mycoplasma orale"
"3589","ASV3589","Dietzia cinnamea"
"3590","ASV3590","Streptococcus oralis subsp. dentisani clade 058"
"3591","ASV3591","Veillonella dispar"
"3592","ASV3592","Cardiobacterium hominis"
"3593","ASV3593","Treponema sp. HMT 228"
"3594","ASV3594","Olsenella sp. HMT 807"
"3595","ASV3595","Streptococcus salivarius"
"3596","ASV3596","Prevotella sp. HMT 292"
"3597","ASV3597","Streptococcus salivarius"
"3598","ASV3598","Prevotella nanceiensis"
"3599","ASV3599","Leptotrichia buccalis"
"3600","ASV3600","Abiotrophia defectiva"
"3601","ASV3601","Treponema sp. HMT 226"
"3602","ASV3602","Veillonella dispar"
"3603","ASV3603","Mogibacterium vescum"
"3604","ASV3604","Actinomyces sp. HMT 448"
"3605","ASV3605","Actinomyces sp. HMT 448"
"3606","ASV3606","Veillonellaceae [G-1] bacterium HMT 483"
"3607","ASV3607","Arthrospira platensis"
"3608","ASV3608","Leptotrichia sp. HMT 212"
"3609","ASV3609","Arachnia rubra"
"3610","ASV3610","Campylobacter gracilis"
"3611","ASV3611","Streptococcus parasanguinis clade 411"
"3612","ASV3612","Lachnoanaerobaculum orale"
"3613","ASV3613","Fusobacterium nucleatum subsp. animalis"
"3614","ASV3614","Prevotella melaninogenica"
"3615","ASV3615","Leptotrichia sp. HMT 221"
"3616","ASV3616","Streptococcus parasanguinis clade 411"
"3617","ASV3617","Lachnoanaerobaculum saburreum"
"3618","ASV3618","Burkholderia cepacia"
"3619","ASV3619","Ochrobactrum anthropi"
"3620","ASV3620","Fusobacterium hwasookii"
"3621","ASV3621","Corynebacterium bovis"
"3622","ASV3622","Campylobacter concisus"
"3623","ASV3623","Prevotella aurantiaca"
"3624","ASV3624","Streptococcus pneumoniae"
"3625","ASV3625","Dialister pneumosintes"
"3626","ASV3626","Alloprevotella tannerae"
"3627","ASV3627","Leptotrichia hongkongensis"
"3628","ASV3628","Johnsonella ignava"
"3629","ASV3629","Arachnia propionica"
"3630","ASV3630","Selenomonas sp. HMT 138"
"3631","ASV3631","Capnocytophaga leadbetteri"
"3632","ASV3632","Veillonellaceae [G-1] bacterium HMT 483"
"3633","ASV3633","Saccharibacteria (TM7) [G-1] bacterium HMT 346"
"3634","ASV3634","Prevotella histicola"
"3635","ASV3635","Prevotella sp. HMT 313"
"3636","ASV3636","Lachnoanaerobaculum umeaense"
"3637","ASV3637","Prevotella salivae"
"3638","ASV3638","Veillonella dispar"
"3639","ASV3639","Lachnoanaerobaculum sp. HMT 083"
"3640","ASV3640","Lachnospiraceae [G-2] bacterium HMT 096"
"3641","ASV3641","Escherichia coli"
"3642","ASV3642","Saccharibacteria (TM7) [G-1] bacterium HMT 957"
"3643","ASV3643","Granulicatella adiacens"
"3644","ASV3644","Burkholderia cepacia"
"3645","ASV3645","Burkholderia cepacia"
"3646","ASV3646","Burkholderia cepacia"
"3647","ASV3647","Fusobacterium sp. HMT 203"
"3648","ASV3648","Peptostreptococcaceae [XI][G-3] bacterium HMT 495"
"3649","ASV3649","Peptostreptococcus stomatis"
"3650","ASV3650","Olsenella sp. HMT 807"
"3651","ASV3651","Capnocytophaga sp. HMT 864"
"3652","ASV3652","Treponema pectinovorum"
"3653","ASV3653","Lachnoanaerobaculum umeaense"
"3654","ASV3654","Streptococcus sinensis"
"3655","ASV3655","Veillonella parvula"
"3656","ASV3656","Leptotrichia hongkongensis"
"3657","ASV3657","Bergeyella sp. HMT 900"
"3658","ASV3658","Lachnospiraceae [G-2] bacterium HMT 096"
"3659","ASV3659","Selenomonas flueggei"
"3660","ASV3660","Acidovorax ebreus"
"3661","ASV3661","Cupriavidus gilardii"
"3662","ASV3662","Capnocytophaga granulosa"
"3663","ASV3663","Prevotella pallens"
"3664","ASV3664","Saccharibacteria (TM7) [G-1] bacterium HMT 352"
"3665","ASV3665","Acinetobacter baumannii"
"3666","ASV3666","Prevotella pallens"
"3667","ASV3667","Alloscardovia omnicolens"
"3668","ASV3668","Corynebacterium matruchotii"
"3669","ASV3669","Prevotella melaninogenica"
"3670","ASV3670","Leptotrichia sp. HMT 498"
"3671","ASV3671","Veillonella dispar"
"3672","ASV3672","Treponema maltophilum"
"3673","ASV3673","Lachnoanaerobaculum sp. HMT 496"
"3674","ASV3674","Selenomonas sputigena"
"3675","ASV3675","Saccharibacteria (TM7) [G-1] bacterium HMT 349"
"3676","ASV3676","Veillonella dispar"
"3677","ASV3677","Selenomonas sp. HMT 478"
"3678","ASV3678","Veillonella dispar"
"3679","ASV3679","Streptococcus salivarius"
"3680","ASV3680","Leptotrichia sp. HMT 417"
"3681","ASV3681","Lachnoanaerobaculum orale"
"3682","ASV3682","Listeria monocytogenes"
"3683","ASV3683","Pseudomonas pseudoalcaligenes"
"3684","ASV3684","Bacteroides pyogenes"
"3685","ASV3685","Veillonella dispar"
"3686","ASV3686","Streptococcus oralis subsp. dentisani clade 058"
"3687","ASV3687","Lactobacillus iners"
"3688","ASV3688","Capnocytophaga leadbetteri"
"3689","ASV3689","Prevotella sp. HMT 396"
"3690","ASV3690","Saccharibacteria (TM7) [G-1] bacterium HMT 957"
"3691","ASV3691","Leptotrichia goodfellowii"
"3692","ASV3692","Arachnia rubra"
"3693","ASV3693","Stomatobaculum sp. HMT 910"
"3694","ASV3694","Selenomonas sputigena"
"3695","ASV3695","Cardiobacterium valvarum"
"3696","ASV3696","Enterococcus italicus"
"3697","ASV3697","Oribacterium asaccharolyticum"
"3698","ASV3698","Porphyromonas sp. HMT 278"
"3699","ASV3699","Ottowia sp. HMT 894"
"3700","ASV3700","Selenomonas artemidis"
"3701","ASV3701","Leptotrichia wadei"
"3702","ASV3702","Shuttleworthia satelles"
"3703","ASV3703","Clostridiales [F-3][G-1] bacterium HMT 876"
"3704","ASV3704","Stenotrophomonas nitritireducens"
"3705","ASV3705","Prevotella salivae"
"3706","ASV3706","Alloprevotella sp. HMT 913"
"3707","ASV3707","Gemella sanguinis"
"3708","ASV3708","Prevotella salivae"
"3709","ASV3709","Lachnospiraceae [G-3] bacterium HMT 100"
"3710","ASV3710","Rothia dentocariosa"
"3711","ASV3711","Ruminococcaceae [G-1] bacterium HMT 075"
